id,name,team_id,team_name
21380,Eyla,47497,100 Thieves
21900,Dhokla,52541,NRG Kia
24971,JNX,353,SK Gaming
23857,Boukada,353,SK Gaming
26574,RKR,353,SK Gaming
27283,Keduii,353,SK Gaming
24452,Loopy,353,SK Gaming
24309,Adam,106,Rogue
25214,Malrang,106,Rogue
26822,Larssen,106,Rogue
21366,Patrik,106,Rogue
29553,JeongHoon,106,Rogue
20728,Doran,47494,T1
21690,Oner,47494,T1
20763,Faker,47494,T1
24427,Gumayusi,47494,T1
26121,Keria,47494,T1
28725,Pungyeon,3483,DN FREECS
20080,PerfecT,407,KT Rolster
23012,Bdd,407,KT Rolster
26978,deokdam,407,KT Rolster
21499,Peter,407,KT Rolster
23596,Zeus,406,Hanwha Life Esports
22125,Clear,4035,BNK FearX
26187,Raptor,4035,BNK FearX
26892,Clozer,52817,OKSavingsBank BRION
22204,Moham,48179,Dplus KIA
27296,Xiaoxu,52796,Beijing JDG Intel Esports
20759,XUN,356,Bilibili Gaming
25478,Scout,52796,Beijing JDG Intel Esports
25148,Sheo,52661,Team BDS
27016,nuc,52661,Team BDS
24080,Ice,52661,Team BDS
22767,Labrov,52661,Team BDS
22523,BrokenBlade,47380,G2 Esports
24444,Yike,47380,G2 Esports
21238,Caps,47380,G2 Esports
22953,Hans Sama,47380,G2 Esports
23778,Mikyx,47376,Fnatic
26212,Kaze,52573,RED Kalunga
51863,Rabelo,52573,RED Kalunga
26599,Zothve,47757,LEVIATÁN
25790,ceo,47757,LEVIATÁN
21221,Hauz,47757,LEVIATÁN
22669,SCARY,47757,LEVIATÁN
23766,TopLop,47757,LEVIATÁN
26530,Naak Nako,47370,Team Vitality
21510,Lyncas,47370,Team Vitality
24513,Czajek,47370,Team Vitality
25400,Carzzy,47370,Team Vitality
24192,Hylissang,47370,Team Vitality
25794,113,52661,Team BDS
22414,Parus,52661,Team BDS
21512,Croco,52817,OKSavingsBank BRION
28898,Hype,52817,OKSavingsBank BRION
23187,Canna,53165,Karmine Corp
23049,Vladi,53165,Karmine Corp
21138,Caliste,53165,Karmine Corp
25956,Targamas,53165,Karmine Corp
24215,dyNquedo,3389,Pain Gaming
24422,Robo,47960,LOUD
22734,Wiz,47960,LOUD
23755,tinowns,47960,LOUD
25345,Route,47960,LOUD
19983,Winsome,47960,LOUD
24281,Odoamne,53168,GIANTX
27440,Peach,53168,GIANTX
21155,Jackies,53168,GIANTX
25365,IgNar,53168,GIANTX
27265,Viper,406,Hanwha Life Esports
23472,Zeka,406,Hanwha Life Esports
20199,Delight,406,Hanwha Life Esports
23810,Peanut,406,Hanwha Life Esports
27293,Myrwn,47619,Movistar KOI
24521,Elyoya,47619,Movistar KOI
26575,Jojopyun,47619,Movistar KOI
20690,Supa,47619,Movistar KOI
21245,Alvaro,47619,Movistar KOI
25299,Flandre,20483,Anyone's Legend
27195,Tarzan,52822,WeiboGaming TapTap
25913,Shanks,20483,Anyone's Legend
22425,Hope,20483,Anyone's Legend
21788,Kael,20483,Anyone's Legend
20426,Willer,4035,FearX
21455,Envyy,52817,OKSavingsBank BRION
92752,Juice,47319,Royal Never Give Up
112510,XBY,47319,Royal Never Give Up
21451,Tangyuan,47319,Royal Never Give Up
25798,huanfeng,47319,Royal Never Give Up
25021,Iwandy,47319,Royal Never Give Up
25531,VicLa,4035,BNK FearX
21032,GIDEON,52817,OKSavingsBank BRION
25728,Effort,52817,OKSavingsBank BRION
25459,Ellim,52817,OKSavingsBank BRION
27036,Diable,4035,BNK FearX
25711,Fresskowy,47619,MAD Lions
26987,Contractz,53073,Shopify Rebellion
23297,Palafox,53073,Shopify Rebellion
20258,FakeGod,53073,Shopify Rebellion
26801,Bugi,53073,Shopify Rebellion
25343,Insanity,53073,Shopify Rebellion
24097,Bvoy,53073,Shopify Rebellion
27317,Zeyzal,53073,Shopify Rebellion
36399,SHTest006,3113,Ultra Prime
36400,SHTest007,3113,Ultra Prime
36402,SHTest008,3113,Ultra Prime
36403,SHTest009,3113,Ultra Prime
36405,SHTest010,3113,Ultra Prime
36392,BJTest001,52726,Suzhou LNG Ninebot Esports
36393,BJTest002,52726,Suzhou LNG Ninebot Esports
36394,BJTest003,52726,Suzhou LNG Ninebot Esports
36396,BJTest004,52726,Suzhou LNG Ninebot Esports
36397,BJTest005,52726,Suzhou LNG Ninebot Esports
25068,Boal,48173,Vivo Keyd Stars
22338,Trymbi,47435,Team Heretics
24106,Disamis,48173,Vivo Keyd Stars
21209,Morttheus,48173,Vivo Keyd Stars
20154,RedBert,47960,LOUD
23645,Gryffinn,47960,LOUD
23933,Jool,47960,LOUD
25993,Ahn,47472,Invictus Gaming
144466,Parukia,47509,SHANGHAI EDWARD GAMING HYCAN
20749,Zoen,54284,Isurus
23506,Leza,54284,Isurus
24058,Cabochard,53165,Karmine Corp
21746,Bo,53165,Karmine Corp
20458,SAKEN,53165,Karmine Corp
24638,Upset,53165,Karmine Corp
24906,Hoya,52606,THUNDER TALK GAMING
25939,Beichuan,356,BILIBILI GAMING DREAMSMART
20845,Ucal,47961,DRX
24085,1xn,52606,THUNDER TALK GAMING
21829,Feather,52606,THUNDER TALK GAMING
21298,Yagao,52796,Beijing JDG Intel Esports Club
20603,MISSING,52796,Beijing JDG Intel Esports
21489,Wunder,47435,Team Heretics
22117,Jankos,47435,Team Heretics
21542,Zwyroo,47435,Team Heretics
24576,Flakked,47435,Team Heretics
25708,Finn,106,Rogue
23620,Markoon,106,Rogue
21066,Comp,106,Rogue
25080,Zoelys,106,Rogue
25373,Solokill,52905,Shenzhen NINJAS IN PYJAMAS
20741,Aki,52905,Shenzhen NINJAS IN PYJAMAS
24050,Doinb,52905,Shenzhen NINJAS IN PYJAMAS
26469,Leave,52905,Shenzhen NINJAS IN PYJAMAS
25461,ppgod,369,Oh My God
23006,Wayward,52910,Xi'an Team WE
111402,Yanxiang,52910,Xi'an Team WE
24539,FoFo,52910,Xi'an Team WE
24886,Able,52910,Xi'an Team WE
27491,Mark,52910,Xi'an Team WE
22283,YSKM,47472,Invictus Gaming
73105,glfs,47472,Invictus Gaming
21217,neny,47472,Invictus Gaming
29439,naiyou,52905,Shenzhen NINJAS IN PYJAMAS
29638,1Jiang,3113,Ultra Prime
122332,Junhao,3113,Ultra Prime
122334,Saber,3113,Ultra Prime
21921,Baiye,3113,Ultra Prime
26847,Xiaoxia,3113,Ultra Prime
26286,Wako,3113,Ultra Prime
35440,LGDBurdol,368,LGD Gaming
35442,LGDMeteor,368,LGD Gaming
21259,Kepler,368,LGD Gaming
35448,LGDJinjiao,368,LGD Gaming
25092,Heng,52910,Xi'an Team WE
21334,LP,52910,Xi'an Team WE
29436,Niket,52905,Shenzhen NINJAS IN PYJAMAS
24843,Vulcan,47351,Cloud9 Kia
27211,Zven,47351,Cloud9 Kia
24165,Blaber,47351,Cloud9 Kia
22956,Thanatos,47351,Cloud9 Kia
21565,Loki ,47351,Cloud9 Kia
23956,Yuuji,47363,Team Liquid
26675,shanji,52905,Shenzhen NINJAS IN PYJAMAS
20892,Casting,407,KT Rolster
26235,Lot,53168,GIANTX
20249,Rooster,52661,Team BDS
21045,Szygenda,106,Rogue
28312,SK Markoon,106,Rogue
28316,KOI Comp,106,Rogue
24968,Qingtian,3113,Ultra Prime
20621,H4cker,3113,Ultra Prime
22831,Yuekai,3113,Ultra Prime
22545,Doggo,3113,Ultra Prime
25933,Fleshy,47370,Team Vitality
24900,Armao,52572,Immortals Progressive
21293,Mask,52572,Immortals Progressive
23468,Tactical,52572,Immortals Progressive
24289,Olleh,52572,Immortals Progressive
21372,Carlsen,47435,Team Heretics
20224,Kamiloo,47435,Team Heretics
28555,TH Flakked,47435,Team Heretics
20899,Stend,47435,Team Heretics
25847,SkewMond,47380,G2 Esports
20786,Rich,47961,DRX
56402,LazyFeel,47961,DRX
26691,Ming,47319,Royal Never Give Up
24268,Hery,369,Oh My God
20088,Tianzhen,369,Oh My God
29442,Starry,369,Oh My God
23250,JoJo,47389,FURIA
25566,Tutsz,47389,FURIA
27190,Tatu,47389,FURIA
26215,Ayu,47389,FURIA
22410,Guigo,47389,FURIA
21251,DnDn,52747,NongShim REDFORCE
20726,Callme,52747,NongShim REDFORCE
54543,Leaper,3483,KWANGDONG FREECS
22816,Deft,407,KT Rolster
24008,Ale,52796,Beijing JDG Intel Esports
27600,Closer,53168,GIANTX
19943,Jensen,340,FlyQuest
24936,Sniper,47497,100 Thieves
24772,Meech,47497,100 Thieves
21951,Photon,47370,Team Vitality
21646,Vetheo,47370,Team Vitality
24052,Th3Antonio,53168,GIANTX
